creator,release_year,running_time,stars,title
Jean-Pierre Jeunet,2002,122,"Audrey Tautou, Mathieu Kassovitz, Rufus, Lorella Cravotta, Serge Merlin",Amelie
Woody Allen,2000,93,"Woody Allen, Diane Keaton, Tony Roberts, Carol Kane, Janet Margolin",Annie Hall
"Dan Mandell, Billy Wilder",2001,125,"Jack Lemmon, Shirley MacLaine, Fred MacMurray, Dorothy Abbott, Edie Adams",The Apartment
Gary Trousdale,2002,84,"Paige O'Hara, Robby Benson, Angela Lansbury, David Ogden Stiers, Jerry Orbach",Beauty and the Beast
Alfred Hitchcock,2000,120,"Rod Taylor, Tippi Hedren, Jessica Tandy, Suzanne Pleshette, Veronica Cartwright",The Birds
Sharon Maguire,2001,97,"Ren\351e Zellweger, Colin Firth, Gemma Jones, Celia Imrie, James Faulkner",Bridget Jones's Diary
"Nick Park, Peter Lord",2000,84,"Mel Gibson, Julia Sawalha, Phil Daniels, Lynn Ferguson, Tony Haygarth",Chicken Run
Orson Welles,2001,119,"Orson Welles, Joseph Cotten, Agnes Moorehead, Ray Collins, Dorothy Comingore",Citizen Kane
Amy Heckerling,1999,97,"Alicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd, Donald Faison",Clueless
David Fincher,2000,139,"Brad Pitt, Edward Norton, Helena Bonham Carter, Meat Loaf, Zach Grenier",Fight Club
"Stanton, Andrew",2003,100,"Eric Bana, Nicholas Bird (II), Albert Brooks, Willem Dafoe, Ellen DeGeneres",Finding Nemo
"George Cukor, Sam Wood, Victor Fleming",2000,233,"Clark Gable, Vivien Leigh, Thomas Mitchell, Barbara O'Neil, Evelyn Keyes",Gone with the Wind
Alfonso Cuar\363n,2004,141,"Daniel Radcliffe, Emma Watson, Rupert Grint, Richard Griffiths, Pam Ferris",Harry Potter and the Prisoner of Azkaban
Chris Columbus,2002,152,"Daniel Radcliffe, Rupert Grint, Richard Harris, Maggie Smith, Robbie Coltrane",Harry Potter and the Sorcerer's Stone
Steven Spielberg,2000,127,"Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough, Bob Peck",Jurassic Park
"Clyde Geronimi, Hamilton Luske, Wilfred Jackson",1999,73,"Barbara Luddy, Larry Roberts, Peggy Lee, Bill Thompson, Bill Baucom",Lady and the Tramp
Sofia Coppola,2004,102,"Bill Murray, Scarlett Johansson, Giovanni Ribisi, Anna Faris, Akiko Takeshita",Lost in Translation
"William H. Ziegler, George Cukor",1998,173,"Audrey Hepburn, Rex Harrison, Stanley Holloway, Wilfrid Hyde-White, Gladys Cooper",My Fair Lady
"Travolta, John, Willis, Bruce",2002,154,"Rosanna Arquette, Steve Buscemi, Paul Calderon, Bronagh Gallagher, Peter Greene",Pulp Fiction
John Madden,1999,123,"Gwyneth Paltrow, Joseph Fiennes, Geoffrey Rush, Tom Wilkinson, Steven O'Donnell",Shakespeare in Love
"Andrew Adamson, Vicky Jenson",2001,90,"Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow",Shrek
Jonathan Demme,1998,118,"Jodie Foster, Anthony Hopkins, Scott Glenn, Anthony Heald, Ted Levine",The Silence of the Lambs
"Willis, Bruce, M. Night Shyamalan",2000,106,"Firdous Bamji, Mischa Barton, Toni Collette, Janis Dardaris, Glenn Fitzgerald",The Sixth Sense
"David Hand, Wilfred Jackson",2001,274,"Adriana Caselotti, Harry Stockwell, Lucille La Verne, Roy Atwell, Stuart Buchanan",Snow White and the Seven Dwarfs
Bryan Singer,2006,106,"Kevin Spacey, Gabriel Byrne, Chazz Palminteri, Stephen Baldwin, Benicio Del Toro",The Usual Suspects
